SMILES,Rewards,Imp,MW
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)NCC(=O)C=CN=C1O,"[0.516, 0.48304705112850643, 0.5679979393738235]",[0.382      0.1102615  0.39796584],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)NCC(=O)C=CN=C1O,"[0.516, 0.48304705112850643, 0.5679979393738235]",[0.382      0.1102615  0.39796584],471.50900000000024
C[NH2+]C[C@@H]1C=CN=C(O)C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C(O)C1,"[0.516, 0.44001701041629676, 0.5309901627032924]",[0.382      0.06723146 0.36095806],486.58800000000025
0:C[NH2+]C[C@@H]1C=CN=C(O)C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C(O)C1,"[0.516, 0.44001701041629676, 0.5309901627032924]",[0.382      0.06723146 0.36095806],0
Cc1ccccc1OC[CH]N1C(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.515, 0.5583185473323526, 0.5129186543769317]",[0.381      0.18553299 0.34288656],453.5580000000003
0:Cc1ccccc1OC[CH]N1C(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.515, 0.5583185473323526, 0.5129186543769317]",[0.381      0.18553299 0.34288656],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)CCCN(C)C(F)=C1N)c1cccnc1O,"[0.514, 0.5789410335508999, 0.5193162457527456]",[0.38       0.20615548 0.34928415],459.5420000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)CCCN(C)C(F)=C1N)c1cccnc1O,"[0.514, 0.5789410335508999, 0.5193162457527456]",[0.38       0.20615548 0.34928415],0
0:C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(c2cccnc2O)[C@H]2CSCCNC2=O)N1C(=O)c1cccc(F)c1N,"[0.514, 0.49307283287282105, 0.5889017925671796]",[0.38       0.12028728 0.41886969],0
C[C@@H]1CCC[C@H]([CH]C(=O)C(C)(c2cccnc2O)[C@H]2CSCCNC2=O)N1C(=O)c1cccc(F)c1N,"[0.514, 0.49307283287282105, 0.5889017925671796]",[0.38       0.12028728 0.41886969],527.6420000000003
0:CC(c1cccnc1O)C(C1=COC(CC[CH]C[NH3+])=C(Br)C=C1)[C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.514, 0.2511201368820322, 0.5185227581365903]",[ 0.38       -0.12166542  0.34849066],0
CC(c1cccnc1O)C(C1=COC(CC[CH]C[NH3+])=C(Br)C=C1)[C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N,"[0.514, 0.2511201368820322, 0.5185227581365903]",[ 0.38       -0.12166542  0.34849066],613.5720000000001
0:Cc1ccc(Nc2ncoc2CN2C(F)=C(N)[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)cc1,"[0.513, 0.3433203208171999, 0.49728730817450373]",[ 0.379      -0.02946523  0.32725521],0
Cc1ccc(Nc2ncoc2CN2C(F)=C(N)[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)cc1,"[0.513, 0.3433203208171999, 0.49728730817450373]",[ 0.379      -0.02946523  0.32725521],506.6020000000003
COC1(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)CCNC(=O)N=C1O,"[0.512, 0.5577530596514583, 0.5649637152198914]",[0.378      0.1849675  0.39493162],461.5140000000002
0:COC1(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)CCNC(=O)N=C1O,"[0.512, 0.5577530596514583, 0.5649637152198914]",[0.378      0.1849675  0.39493162],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cc([NH+]C2CCCCCC2)cnc1O,"[0.512, 0.383096345165159, 0.5520347878256475]",[0.378      0.01031079 0.38200269],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cc([NH+]C2CCCCCC2)cnc1O,"[0.512, 0.383096345165159, 0.5520347878256475]",[0.378      0.01031079 0.38200269],509.6460000000004
CC(C(=O)[CH][C@H]1C(O)CCNC(=O)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.51, 0.5251855035590581, 0.5428275585734466]",[0.376      0.15239995 0.37279546],429.4280000000001
0:CC(C(=O)[CH][C@H]1C(O)CCNC(=O)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.51, 0.5251855035590581, 0.5428275585734466]",[0.376      0.15239995 0.37279546],0
CO[C@H]1CC[C@H](c2ccc(C(C)C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)c(O)n2)C(=O)OC1,"[0.509, 0.3992296991942941, 0.5684988225091872]",[0.375      0.02644414 0.39846672],540.6120000000002
0:CO[C@H]1CC[C@H](c2ccc(C(C)C(=O)[CH][C@H]3CCC[C@@H](C)N3C(=O)c3cccc(F)c3N)c(O)n2)C(=O)OC1,"[0.509, 0.3992296991942941, 0.5684988225091872]",[0.375      0.02644414 0.39846672],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(O)CCNC(=O)C=CN=C1O,"[0.508, 0.48091458042344726, 0.5749994414203752]",[0.374      0.10812903 0.40496734],473.52500000000026
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(O)CCNC(=O)C=CN=C1O,"[0.508, 0.48091458042344726, 0.5749994414203752]",[0.374      0.10812903 0.40496734],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([C@H]2CC2=O)C(F)=C1N)c1cccnc1O,"[0.507, 0.7692410813632601, 0.4826466328448461]",[0.373      0.39645553 0.31261453],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([C@H]2CC2=O)C(F)=C1N)c1cccnc1O,"[0.507, 0.7692410813632601, 0.4826466328448461]",[0.373      0.39645553 0.31261453],374.4360000000001
CC(C(=O)[CH][C@H]1CC1(C(=O)c1cccc(F)c1N)[C@H]1COCC(Cl)CN1)c1cccnc1O,"[0.506, 0.32088917408366413, 0.5088589568119617]",[ 0.372      -0.05189638  0.33882686],474.94000000000017
0:CC(C(=O)[CH][C@H]1CC1(C(=O)c1cccc(F)c1N)[C@H]1COCC(Cl)CN1)c1cccnc1O,"[0.506, 0.32088917408366413, 0.5088589568119617]",[ 0.372      -0.05189638  0.33882686],0
CCC[NH+]1C=CC(=N)[C@@H]1N1C(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.505, 0.4843080269875435, 0.509403644742608]",[0.371      0.11152247 0.33937155],443.5670000000002
0:CCC[NH+]1C=CC(=N)[C@@H]1N1C(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.505, 0.4843080269875435, 0.509403644742608]",[0.371      0.11152247 0.33937155],0
0:CC1=CC(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C(N)C(F)=C[C@H](C)CNC(=O)[C@@H](C)N1,"[0.505, 0.45020261711978243, 0.5335477294191617]",[0.371      0.07741706 0.36351563],0
CC1=CC(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C(N)C(F)=C[C@H](C)CNC(=O)[C@@H](C)N1,"[0.505, 0.45020261711978243, 0.5335477294191617]",[0.371      0.07741706 0.36351563],540.6600000000003
CC(=O)N1[C@H](C)CCC[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.504, 0.6688191718936114, 0.5634753851274317]",[0.37       0.29603362 0.39344329],455.5100000000002
0:CC(=O)N1[C@H](C)CCC[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.504, 0.6688191718936114, 0.5634753851274317]",[0.37       0.29603362 0.39344329],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(N)C[NH+]1CCCCC[C@@H]1C)c1cccnc1O,"[0.504, 0.35416361813353553, 0.5695879509307362]",[ 0.37       -0.01862194  0.39955585],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1NC(N)C[NH+]1CCCCC[C@@H]1C)c1cccnc1O,"[0.504, 0.35416361813353553, 0.5695879509307362]",[ 0.37       -0.01862194  0.39955585],553.7230000000004
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(S)N(CC=O)C=CN=C1O,"[0.503, 0.3088083496642928, 0.5427293546739218]",[ 0.369      -0.06397721  0.37269726],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(S)N(CC=O)C=CN=C1O,"[0.503, 0.3088083496642928, 0.5427293546739218]",[ 0.369      -0.06397721  0.37269726],487.5770000000002
0:CC(C(=O)[CH][C@H]1CCC(=S)N(Cc2cccc(Cl)c2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.501, 0.2863428354947666, 0.5347246182251968]",[ 0.367      -0.08644272  0.36469252],0
CC(C(=O)[CH][C@H]1CCC(=S)N(Cc2cccc(Cl)c2)[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.501, 0.2863428354947666, 0.5347246182251968]",[ 0.367      -0.08644272  0.36469252],568.0940000000002
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)c2ccccc2)C(F)=C1N)c1cccnc1O,"[0.5, 0.6371926125383599, 0.517362042103859]",[0.366      0.26440706 0.34732994],424.54000000000013
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)c2ccccc2)C(F)=C1N)c1cccnc1O,"[0.5, 0.6371926125383599, 0.517362042103859]",[0.366      0.26440706 0.34732994],0
0:Cc1ccc([CH]N2C(F)=C(N)[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)cc1,"[0.499, 0.6544540063874267, 0.4871627220152557]",[0.365      0.28166845 0.31713062],0
Cc1ccc([CH]N2C(F)=C(N)[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)cc1,"[0.499, 0.6544540063874267, 0.4871627220152557]",[0.365      0.28166845 0.31713062],423.5320000000002
0:CC(C(=O)[CH][C@H]1CC(O)NC[C@@H](C)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.499, 0.4935405132240249, 0.5596296559521232]",[0.365      0.12075496 0.38959756],0
CC(C(=O)[CH][C@H]1CC(O)NC[C@@H](C)C[C@@H](C)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.499, 0.4935405132240249, 0.5596296559521232]",[0.365      0.12075496 0.38959756],471.55300000000017
0:CCC1O[C@H](C)CCCN1c1cccc(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)c1N,"[0.499, 0.489660570059596, 0.5404959045055957]",[0.365      0.11687501 0.37046381],0
CCC1O[C@H](C)CCCN1c1cccc(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)c1N,"[0.499, 0.489660570059596, 0.5404959045055957]",[0.365      0.11687501 0.37046381],521.6820000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)NC(=O)Cc2cccs2)C(F)=C1N)c1cccnc1O,"[0.499, 0.4855643187818809, 0.5115265091959937]",[0.365      0.11277876 0.34149441],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)NC(=O)Cc2cccs2)C(F)=C1N)c1cccnc1O,"[0.499, 0.4855643187818809, 0.5115265091959937]",[0.365      0.11277876 0.34149441],487.62100000000015
0:CC[C@@H]1C(=O)CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.498, 0.6440176493339997, 0.5691458307200095]",[0.364      0.27123209 0.39911373],0
CC[C@@H]1C(=O)CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.498, 0.6440176493339997, 0.5691458307200095]",[0.364      0.27123209 0.39911373],454.5220000000002
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([CH]C[C@H]2CCCOC2)C(F)=C1N)c1cccnc1O,"[0.497, 0.6282888090940826, 0.5229024898117994]",[0.363      0.25550325 0.35287039],431.55200000000013
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([CH]C[C@H]2CCCOC2)C(F)=C1N)c1cccnc1O,"[0.497, 0.6282888090940826, 0.5229024898117994]",[0.363      0.25550325 0.35287039],0
CCN1C(N2CCCCCC2)[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.497, 0.5835924926933477, 0.5473349859118108]",[0.363      0.21080694 0.37730289],482.58000000000015
0:CCN1C(N2CCCCCC2)[C@H]([CH]C(=O)C(C)c2cccnc2O)N1C(=O)c1cccc(F)c1N,"[0.497, 0.5835924926933477, 0.5473349859118108]",[0.363      0.21080694 0.37730289],0
CC(=O)C1=CC=C(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)C(N)=C(F)[C@@H](c2ccccc2C)CN1,"[0.497, 0.43964612928417857, 0.546314710494669]",[0.363      0.06686057 0.37628261],573.6890000000002
0:CC(=O)C1=CC=C(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)C(N)=C(F)[C@@H](c2ccccc2C)CN1,"[0.497, 0.43964612928417857, 0.546314710494669]",[0.363      0.06686057 0.37628261],0
CC(C(=O)[CH][C@H]1CCC(O)NSC1(F)C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.497, 0.3007677271191041, 0.5399214659118385]",[ 0.363      -0.07201783  0.36988937],450.48700000000014
0:CC(C(=O)[CH][C@H]1CCC(O)NSC1(F)C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.497, 0.3007677271191041, 0.5399214659118385]",[ 0.363      -0.07201783  0.36988937],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([C@@H]2C[C@H](CCO)NC2=O)C(F)=C1N)c1cccnc1O,"[0.496, 0.46992664101383114, 0.5062660743137168]",[0.362      0.09714109 0.33623398],447.5310000000001
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([C@@H]2C[C@H](CCO)NC2=O)C(F)=C1N)c1cccnc1O,"[0.496, 0.46992664101383114, 0.5062660743137168]",[0.362      0.09714109 0.33623398],0
CC(C(=O)[CH][C@H]1CCC(O)NNC(=O)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.496, 0.43083011016211387, 0.5571161528104296]",[0.362      0.05804456 0.38708405],444.44300000000015
0:CC(C(=O)[CH][C@H]1CCC(O)NNC(=O)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.496, 0.43083011016211387, 0.5571161528104296]",[0.362      0.05804456 0.38708405],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([CH]CC(=O)NN)C(F)=C1N)c1cccnc1O,"[0.496, 0.2350567797358296, 0.490034299122481]",[ 0.362      -0.13772878  0.3200022 ],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([CH]CC(=O)NN)C(F)=C1N)c1cccnc1O,"[0.496, 0.2350567797358296, 0.490034299122481]",[ 0.362      -0.13772878  0.3200022 ],405.4740000000001
0:[CH]c1ccccc1C(=O)NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.495, 0.5751544337219934, 0.5290673785295075]",[0.361      0.20236888 0.35903528],0
[CH]c1ccccc1C(=O)NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.495, 0.5751544337219934, 0.5290673785295075]",[0.361      0.20236888 0.35903528],477.5600000000003
[CH]N(c1ccccc1Cl)N1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.495, 0.5238606140976183, 0.5003369167782142]",[0.361      0.15107506 0.33030482],483.9950000000003
0:[CH]N(c1ccccc1Cl)N1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.495, 0.5238606140976183, 0.5003369167782142]",[0.361      0.15107506 0.33030482],0
CC1CC([O-])([C@@H]2CCC[C@H]([CH]C(=O)C(C)c3cccnc3O)N2C(=O)c2cccc(F)c2N)CC[C@@H]([NH3+])N1,"[0.495, 0.412630166021748, 0.5598176222404171]",[0.361      0.03984461 0.38978552],526.6330000000003
0:CC1CC([O-])([C@@H]2CCC[C@H]([CH]C(=O)C(C)c3cccnc3O)N2C(=O)c2cccc(F)c2N)CC[C@@H]([NH3+])N1,"[0.495, 0.412630166021748, 0.5598176222404171]",[0.361      0.03984461 0.38978552],0
0:C[C]C(=O)NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.494, 0.6592231760200886, 0.48814408748742544]",[0.36       0.28643762 0.31811199],0
C[C]C(=O)NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.494, 0.6592231760200886, 0.48814408748742544]",[0.36       0.28643762 0.31811199],415.4890000000002
CCCN1C(Sc2cccs2)=CC=CC(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C1N,"[0.494, 0.4196036186550146, 0.5378604182073463]",[0.36       0.04681806 0.36782832],551.7580000000002
0:CCCN1C(Sc2cccs2)=CC=CC(C(=O)N2[C@@H]([CH]C(=O)C(C)c3cccnc3O)CCC[C@H]2C)=C1N,"[0.494, 0.4196036186550146, 0.5378604182073463]",[0.36       0.04681806 0.36782832],0
COCN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.493, 0.7738021953205461, 0.5013160045585661]",[0.359      0.40101664 0.33128391],390.47900000000016
0:COCN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.493, 0.7738021953205461, 0.5013160045585661]",[0.359      0.40101664 0.33128391],0
[C]NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.493, 0.7361764880156755, 0.48531321568571095]",[0.359      0.36339093 0.31528112],372.4440000000002
0:[C]NN1C=CC(F)=C(N)[C@@H]([CH]C(=O)C(C)c2cccnc2O)CCC[C@H]1C,"[0.493, 0.7361764880156755, 0.48531321568571095]",[0.359      0.36339093 0.31528112],0
0:CC(C(=O)[CH][C@H]1CC(C)(N2CCCCC[C@H]2S)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.493, 0.4079822469441875, 0.5627309381212537]",[0.359      0.03519669 0.39269884],0
CC(C(=O)[CH][C@H]1CC(C)(N2CCCCC[C@H]2S)N1C(=O)c1cccc(F)c1N)c1cccnc1O,"[0.493, 0.4079822469441875, 0.5627309381212537]",[0.359      0.03519669 0.39269884],499.6320000000002
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)C)C(F)=C1N)c1cccnc1O,"[0.492, 0.7816033510206963, 0.4831099610829659]",[0.358      0.4088178  0.31307786],362.46900000000005
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C(C)C)C(F)=C1N)c1cccnc1O,"[0.492, 0.7816033510206963, 0.4831099610829659]",[0.358      0.4088178  0.31307786],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N([C@@H]2CCCO2)C(F)=C1N)c1cccnc1O,"[0.492, 0.7494657457051076, 0.4868883169575128]",[0.358      0.37668019 0.31685622],390.4790000000001
